time,open,high,low,close,Volume
1775669460,57000,57010,56995,56995,7
1775669580,56980,56980,56970,56970,3
1775669700,57000,57000,57000,57000,2
1775669760,57010,57030,57005,57030,3
1775669820,57015,57015,56920,56960,36
1775669880,56980,56995,56965,56975,5
1775669940,56985,56985,56985,56985,1
1775670000,57005,57010,57000,57010,4
1775670060,57005,57040,56995,56995,42
1775670180,57040,57040,57030,57030,2
1775670240,57035,57035,57035,57035,1
1775670300,57020,57025,57020,57025,2
1775670420,57015,57015,57015,57015,1
1775670480,57000,57000,57000,57000,1
1775670540,57010,57010,57010,57010,1
1775670600,57020,57020,57020,57020,1
1775670660,57020,57020,57020,57020,3
1775670720,57015,57015,57015,57015,1
1775670960,57010,57010,57010,57010,1
1775671020,57035,57035,57035,57035,1
1775671080,57030,57030,57030,57030,3
1775671140,57020,57035,57020,57035,5
1775671200,57010,57025,57010,57010,8
1775671260,57045,57045,57045,57045,1
1775671320,57045,57045,57040,57040,3
1775671440,57070,57070,57070,57070,2
1775671620,57060,57060,57060,57060,1
1775671680,57070,57070,57070,57070,5
1775671740,57075,57095,57075,57090,11
1775671800,57090,57090,57075,57075,5
1775671860,57075,57075,57075,57075,1
1775671920,57080,57080,57080,57080,1
1775671980,57065,57070,57065,57070,6
1775672040,57080,57080,57065,57065,17
1775672100,57085,57085,57085,57085,1
1775672220,57080,57080,57070,57070,5
1775672280,57075,57075,56885,56925,84
1775672340,56940,56940,56830,56920,42
1775672400,56930,56940,56850,56865,17
1775672460,56875,56880,56870,56875,4
1775672520,56915,56925,56870,56875,16
1775672580,56885,56925,56885,56920,10
1775672640,56920,56920,56920,56920,1
1775672700,56885,56895,56865,56895,11
1775672760,56925,56935,56920,56925,15
1775672820,56915,56925,56900,56905,5
1775672880,56920,56940,56920,56920,18
1775672940,56935,56935,56905,56910,5
1775673000,56930,56930,56930,56930,2
1775673120,56950,56950,56935,56935,3
1775673240,56900,56900,56895,56895,3
1775673300,56910,56910,56900,56900,4
1775673480,56875,56880,56875,56880,2
1775673540,56870,56880,56860,56860,4
1775673660,56815,56815,56815,56815,2
1775673720,56825,56830,56815,56830,4
1775673900,56800,56810,56800,56810,4
1775673960,56835,56835,56835,56835,2
1775674020,56850,56855,56850,56855,3
1775674140,56800,56800,56800,56800,2
1775674260,56795,56800,56780,56800,11
1775674320,56825,56825,56790,56795,7
1775674380,56795,56795,56795,56795,1
1775674440,56805,56805,56785,56790,5
1775674500,56780,56780,56740,56740,11
1775674560,56745,56745,56720,56720,3
1775674620,56720,56730,56720,56730,10
1775674680,56720,56735,56710,56710,7
1775674740,56710,56710,56700,56705,5
1775674800,56700,56720,56695,56695,7
1775674860,56725,56750,56725,56750,5
1775674920,56745,56745,56745,56745,2
1775674980,56755,56770,56755,56760,29
1775675040,56745,56745,56720,56740,5
1775675100,56740,56740,56735,56735,2
1775675160,56730,56730,56725,56725,2
1775675220,56735,56740,56735,56740,2
1775675280,56735,56735,56735,56735,1
1775675340,56730,56730,56725,56730,4
1775675460,56805,56825,56805,56820,6
1775675520,56815,56820,56815,56820,8
1775675580,56825,56840,56810,56830,26
1775675700,56850,56850,56845,56845,2
1775675760,56835,56835,56835,56835,1
1775675820,56805,56805,56785,56785,6
1775675880,56770,56775,56765,56765,5
1775675940,56755,56755,56745,56755,5
1775676000,56745,56745,56740,56740,2
1775676120,56750,56750,56735,56735,4
1775676180,56735,56755,56725,56755,8
1775676240,56760,56760,56760,56760,2
1775676300,56800,56810,56800,56810,2
1775676540,56785,56785,56780,56780,3
1775676600,56805,56820,56805,56820,8
1775676660,56850,56860,56850,56860,5
1775676720,56845,56885,56845,56885,7
1775676780,56880,56885,56875,56875,6
1775676840,56885,56885,56885,56885,4
1775676900,56910,56935,56895,56895,37
1775676960,56910,56955,56910,56955,3
1775677020,56940,56945,56925,56925,11
1775677080,56940,56955,56900,56900,14
1775677140,56930,56945,56930,56940,6
1775677200,56940,56940,56930,56930,8
1775677260,56925,56925,56915,56925,9
1775677320,56930,56930,56930,56930,1
1775677380,56950,56950,56950,56950,1
1775677440,56955,56955,56955,56955,2
1775677500,56960,56965,56960,56960,5
1775677560,56950,56965,56950,56965,2
1775677620,56955,56955,56955,56955,4
1775677740,56970,56970,56965,56965,4
1775677800,56990,57050,56990,57050,35
1775677860,57050,57065,57040,57055,18
1775677920,57045,57050,57020,57020,14
1775677980,57025,57035,57020,57020,7
1775678040,57030,57035,57025,57035,5
1775678100,57035,57045,57035,57045,8
1775678160,57050,57065,57050,57060,4
1775678220,57060,57080,57060,57075,20
1775678280,57075,57075,57055,57065,20
1775678340,57080,57100,57075,57095,12
1775678400,57095,57120,57090,57100,24
1775678460,57105,57125,57100,57125,5
1775678520,57110,57125,57110,57125,2
