time,open,high,low,close,Volume
1777050780,7189.25,7189.75,7187.75,7188.75,1222
1777050840,7188.5,7189.5,7188.25,7188.75,888
1777050900,7188.75,7189,7186.75,7187.25,1505
1777050960,7187.25,7187.75,7186.25,7187.25,1202
1777051020,7187,7187.5,7186.5,7187,805
1777051080,7186.75,7187,7186.25,7186.75,677
1777051140,7186.5,7187,7186,7186.25,1037
1777051200,7186,7187,7185,7185.75,1663
1777051260,7185.5,7185.5,7184.25,7184.5,1264
1777051320,7184.25,7185,7183.5,7184,1720
1777051380,7183.75,7184.25,7183,7184,4273
1777051440,7183.75,7187.25,7183.75,7187,1931
1777051500,7186.75,7188.25,7186.5,7187.75,1662
1777051560,7187.5,7188.75,7186.75,7187.5,1429
1777051620,7187.5,7187.75,7186.5,7187,1143
1777051680,7186.75,7187.5,7186.25,7187,1030
1777051740,7186.75,7187.75,7185.75,7186,1215
1777051800,7186,7186.75,7183.25,7185.25,4289
1777051860,7185,7185.75,7182.75,7184,3746
1777051920,7183.75,7185.5,7183.5,7185.25,1572
1777051980,7185,7186,7184.5,7185.5,1554
1777052040,7185.5,7187.25,7184,7186.25,1976
1777052100,7186,7189,7185.75,7188,2622
1777052160,7187.75,7191.5,7187.75,7190.5,2167
1777052220,7190.5,7191,7189.5,7189.75,1448
1777052280,7189.75,7190,7188.5,7189,1131
1777052340,7188.75,7189.25,7187,7187.75,1178
1777052400,7187.75,7189.25,7187.25,7188.75,1055
1777052460,7188.5,7190.75,7188,7190,1354
1777052520,7190,7190.25,7189,7189.75,718
1777052580,7190,7190.25,7189.25,7189.75,703
1777052640,7189.75,7191.25,7189.5,7191,1093
1777052700,7191,7192,7190.5,7190.5,1209
1777052760,7190.75,7191.75,7190.25,7190.75,1213
1777052820,7190.5,7190.75,7189.75,7190.75,866
1777052880,7190.5,7191.5,7190,7191,880
1777052940,7190.75,7191,7189.25,7189.5,1085
1777053000,7189.75,7191,7189.5,7190.75,978
1777053060,7190.5,7191,7189.5,7190,980
1777053120,7189.75,7191,7189,7190.75,1048
1777053180,7190.75,7192.5,7190.75,7192,1113
1777053240,7191.75,7200.5,7191.75,7194.5,13625
1777053300,7194.5,7196,7192.75,7192.75,3322
1777053360,7193,7194.5,7193,7193,1664
1777053420,7193,7193.75,7191.75,7192,1397
1777053480,7192,7193.25,7191.75,7192.5,1014
1777053540,7192.5,7193,7191.75,7192.25,1194
1777053600,7192.25,7192.75,7190.5,7190.75,1717
1777053660,7190.5,7192.75,7190.5,7192.75,1566
